filename, language, Dockerfile, Paradox, Markdown, Ignore, Gemfile, Ruby, YAML, HTML, Properties, XML, JavaScript, ERB, CSS, CoffeeScript, JSON, Log, comment, blank, total
xulung_app/app/assets/javascripts/simditor/simditor-livemd.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 219, 0, 0, 0, 0, 0, 4, 7, 230
xulung_app/app/assets/javascripts/simditor/simditor-markdown.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 4, 19, 147
xulung_app/app/assets/javascripts/simditor/simditor-marked.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 19, 148
xulung_app/app/assets/javascripts/simditor/simditor.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3939, 0, 0, 0, 0, 0, 1251, 390, 5580
xulung_app/app/assets/javascripts/simditor/to-markdown.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 558, 0, 0, 0, 0, 0, 89, 112, 759
xulung_app/app/assets/javascripts/simditor/uploader.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 237, 0, 0, 0, 0, 0, 4, 21, 262
xulung_app/app/assets/javascripts/style-switcher.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 2, 10, 52
xulung_app/app/assets/javascripts/video.js.coffee, CoffeeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 2, 0, 8
xulung_app/app/assets/javascripts/waypoints.min.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
xulung_app/app/assets/stylesheets/app.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2670, 0, 0, 0, 189, 448, 3307
xulung_app/app/assets/stylesheets/application.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 1, 26
xulung_app/app/assets/stylesheets/bootstrap.min.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5408, 0, 0, 0, 9, 1338, 6755
xulung_app/app/assets/stylesheets/custom.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 314, 0, 0, 0, 21, 66, 401
xulung_app/app/assets/stylesheets/default.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 7
xulung_app/app/assets/stylesheets/flexslider.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 21, 14, 76
xulung_app/app/assets/stylesheets/footer-v2.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 5, 9, 52
xulung_app/app/assets/stylesheets/header-v2.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 714, 0, 0, 0, 45, 142, 901
xulung_app/app/assets/stylesheets/highlight.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 2, 72
xulung_app/app/assets/stylesheets/jquery.fancybox.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 0, 0, 0, 3, 36, 250
xulung_app/app/assets/stylesheets/line-icons.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 552, 0, 0, 0, 7, 166, 725
xulung_app/app/assets/stylesheets/owl.carousel.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 207, 0, 0, 0, 15, 10, 232
xulung_app/app/assets/stylesheets/price_v8.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 910, 0, 0, 0, 31, 39, 980
xulung_app/app/assets/stylesheets/roadmap.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 28, 135
xulung_app/app/assets/stylesheets/rouge.css.erb, ERB, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
xulung_app/app/assets/stylesheets/simditor-html.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
xulung_app/app/assets/stylesheets/simditor-markdown.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 1, 29
xulung_app/app/assets/stylesheets/sky-forms.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 901, 0, 0, 0, 82, 53, 1036
xulung_app/app/assets/stylesheets/style.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1748, 0, 0, 0, 150, 358, 2256
xulung_app/app/assets/stylesheets/timeline.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 19, 24, 166
xulung_app/app/assets/stylesheets/viewer.css.erb, ERB, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1192, 0, 0, 0, 0, 0, 139, 1331
xulung_app/app/assets/stylesheets/welcome.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 371, 0, 0, 0, 21, 28, 420
xulung_app/app/assets/stylesheets/yue.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 219, 0, 0, 0, 41, 46, 306
xulung_app/app/controllers/admin_controller.rb, Ruby, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 73
xulung_app/app/controllers/application_controller.rb, Ruby, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 34, 148
xulung_app/app/controllers/comments_controller.rb, Ruby, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
xulung_app/app/controllers/consultants_controller.rb, Ruby, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15, 86
xulung_app/app/controllers/desktop_controller.rb, Ruby, 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 161
xulung_app/app/controllers/errors_controller.rb, Ruby, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
xulung_app/app/controllers/favorites_controller.rb, Ruby, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 52
xulung_app/app/controllers/orders_controller.rb, Ruby, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 54
xulung_app/app/controllers/pages_controller.rb, Ruby, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 80
xulung_app/app/controllers/photos_controller.rb, Ruby, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 63
xulung_app/app/controllers/posts_controller.rb, Ruby, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20, 136
xulung_app/app/controllers/service_controller.rb, Ruby, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 43
xulung_app/app/controllers/users_controller.rb, Ruby, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 32
xulung_app/app/controllers/videos_controller.rb, Ruby, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 34, 201
